"0.5","0.375","0.05","0.075","0.0","0.0","0.0","0.0","0.0","0.0"
"0.55","0.225","0.1","0.075","0.0","0.05","0.0","0.0","0.0","0.0"
"0.625","0.225","0.1","0.025","0.025","0.0","0.0","0.0","0.0","0.0"
"0.525","0.275","0.175","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
"0.5","0.175","0.125","0.075","0.05","0.05","0.025","0.0","0.0","0.0"
"0.625","0.2","0.125","0.0","0.05","0.0","0.0","0.0","0.0","0.0"
"0.5","0.35","0.075","0.075","0.0","0.0","0.0","0.0","0.0","0.0"
"0.675","0.325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.8","0.15","0.025","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
"0.65","0.25","0.075","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
